modèle,objectif,automates,binf,exact,écart relatif
p53-mdm2,p53=1,3,1.0,1.0,0.0
cellfate,Apoptosis=1,11,0.5,0.5,0.0
cellfate,Necrosis=1,11,0.23437499999999997,0.23437499999999994,-1.1842378929335005e-16
cellfate,Survival=1,11,0.5,0.5,0.0
multivalued-demo,g=2,2,0.9999999999998758,0.999999999998325,-1.5507595207990161e-12
